"year","month","day","station","O3","TEMP","PRES","DEWP","RAIN","WSPM","date"
2013,3,1,"Gucheng",77.1304347826087,1.69166666666667,1024.81666666667,-19.6916666666667,0,2.35,2013-03-01
2013,3,2,"Gucheng",39.5833333333333,0.820833333333333,1024.9,-16.3375,0,1.0875,2013-03-02
2013,3,3,"Gucheng",33.7083333333333,6.5625,1012.56666666667,-11.9916666666667,0,1.4,2013-03-03
2013,3,4,"Gucheng",67.25,9.79583333333333,1015.60833333333,-11.9458333333333,0,1.54166666666667,2013-03-04
2013,3,5,"Gucheng",84.375,6.75,1008.88333333333,-7.74166666666667,0,0.841666666666667,2013-03-05
2013,3,6,"Gucheng",17.5,7.35416666666667,1005.58333333333,-4.35833333333333,0,0.745833333333333,2013-03-06
2013,3,7,"Gucheng",55.625,9.72916666666667,1000.30416666667,-2.2125,0,1.00416666666667,2013-03-07
2013,3,8,"Gucheng",106.666666666667,10.6125,997.45,-1.65,0,1.24583333333333,2013-03-08
2013,3,9,"Gucheng",102.125,7.625,1002.31666666667,-11.0416666666667,0,2.26666666666667,2013-03-09
2013,3,10,"Gucheng",98.625,6.425,1018.58333333333,-14.6958333333333,0,1.97916666666667,2013-03-10
2013,3,11,"Gucheng",91.5416666666667,5.78333333333333,1011.64583333333,-7.25,0,0.983333333333333,2013-03-11
2013,3,12,"Gucheng",39.6666666666667,5.18333333333333,1006.90833333333,0.420833333333333,0.1375,0.983333333333333,2013-03-12
2013,3,13,"Gucheng",64.625,4.84583333333333,1020.5375,-10.35,0,1.64166666666667,2013-03-13
2013,3,14,"Gucheng",80.0416666666667,3.98333333333333,1019.43333333333,-3.975,0,1.34583333333333,2013-03-14
2013,3,15,"Gucheng",61.2916666666667,5.97916666666667,1012.46666666667,-1.225,0,0.7375,2013-03-15
2013,3,16,"Gucheng",87.1666666666667,9.725,1014.85,0.375,0,1.24166666666667,2013-03-16
2013,3,17,"Gucheng",107,10.1958333333333,999.9625,2.7125,0,0.829166666666667,2013-03-17
2013,3,18,"Gucheng",93.5833333333333,8.69583333333333,999.0625,-10.1291666666667,0,2.45833333333333,2013-03-18
2013,3,19,"Gucheng",24.5,1.95416666666667,1006.95,-1.79166666666667,0.35,1.34166666666667,2013-03-19
2013,3,20,"Gucheng",44.1666666666667,1.89166666666667,1015.25,-2.98333333333333,0.1375,1.3625,2013-03-20
2013,3,21,"Gucheng",19.4347826086957,3.625,1002.8375,-2.05,0,1.2125,2013-03-21
2013,3,22,"Gucheng",54.375,7.04166666666667,1009.52083333333,-6.07083333333333,0,2.0125,2013-03-22
2013,3,23,"Gucheng",38.4166666666667,4.9625,1006.55,-6.99166666666667,0,1.875,2013-03-23
2013,3,24,"Gucheng",75.1702333333333,5.35833333333333,1014.19583333333,-14.8208333333333,0,1.54166666666667,2013-03-24
2013,3,25,"Gucheng",34.4783304347826,5.18333333333333,1013.24583333333,-6.93333333333333,0,1.54583333333333,2013-03-25
2013,3,26,"Gucheng",19.2377666666667,7.10833333333333,1005.53333333333,-2.49166666666667,0,0.891666666666667,2013-03-26
2013,3,27,"Gucheng",52.1796583333333,10.6583333333333,1003.0125,-5.90416666666667,0,1.9,2013-03-27
2013,3,28,"Gucheng",73.9583333333333,8.0125,1013.5,-11.6125,0,1.81666666666667,2013-03-28
2013,3,29,"Gucheng",31.6424956521739,6.49166666666667,1014.10833333333,-7.25833333333333,0,1.34583333333333,2013-03-29
2013,3,30,"Gucheng",49.0833333333333,6.50833333333333,1014.69166666667,-3.95,0,1.58333333333333,2013-03-30
2013,3,31,"Gucheng",5.625,5.64583333333333,1011.03333333333,1.9875,0,1.14166666666667,2013-03-31
2013,4,1,"Gucheng",58.0236666666667,11.2166666666667,1009.53333333333,-5.9875,0,2.26666666666667,2013-04-01
2013,4,2,"Gucheng",62.0894695652174,10.7458333333333,1009.30833333333,-3.6875,0,1.3,2013-04-02
2013,4,3,"Gucheng",60.7916666666667,11.7833333333333,1004.66666666667,-1.275,0,1.7125,2013-04-03
2013,4,4,"Gucheng",33.4583333333333,7.8625,1007.0375,-1.35416666666667,0.3125,1.01666666666667,2013-04-04
2013,4,5,"Gucheng",50.4583333333333,8.65833333333333,1011.15,-1.77083333333333,0.0833333333333333,1.85416666666667,2013-04-05
2013,4,6,"Gucheng",63.7391304347826,8.54583333333333,1008.7625,-8.8875,0,1.23333333333333,2013-04-06
2013,4,7,"Gucheng",37.0833333333333,8.8375,1000.2125,-2.14166666666667,0,1.37083333333333,2013-04-07
2013,4,8,"Gucheng",82.5833333333333,9.30833333333333,1005.075,-12.4625,0,4.01666666666667,2013-04-08
2013,4,9,"Gucheng",95.4583333333333,8.225,1012.41666666667,-10.2791666666667,0,2.90833333333333,2013-04-09
2013,4,10,"Gucheng",83.5799565217391,8.76666666666667,1011.89166666667,-11.2375,0,2.70833333333333,2013-04-10
2013,4,11,"Gucheng",69.4722,10.9875,1010.64583333333,-11.6166666666667,0,1.77083333333333,2013-04-11
2013,4,12,"Gucheng",38.6425083333333,15.05,1004.675,-4.18333333333333,0,1.4625,2013-04-12
2013,4,13,"Gucheng",52.0416666666667,17.3916666666667,996.833333333333,-1.20833333333333,0,2.33333333333333,2013-04-13
2013,4,14,"Gucheng",77.1739130434783,12.7875,1002.39166666667,-5,0,1.8375,2013-04-14
2013,4,15,"Gucheng",59.4583333333333,12.825,995.591666666667,0.329166666666667,0,1.49583333333333,2013-04-15
2013,4,16,"Gucheng",74.9166666666667,14.5791666666667,999.045833333333,-0.55,0,1.92083333333333,2013-04-16
2013,4,17,"Gucheng",73.875,12.3375,1003.85833333333,-2.25833333333333,0,1.95,2013-04-17
2013,4,18,"Gucheng",79.6256,11.05,1014.89583333333,-13.8416666666667,0,1.9875,2013-04-18
2013,4,19,"Gucheng",55.4166666666667,6.2375,1016.61666666667,-2.0625,0.0208333333333333,1.75416666666667,2013-04-19
2013,4,20,"Gucheng",64.0833333333333,9.16666666666667,1013.25833333333,0.325,0,1.5,2013-04-20
2013,4,21,"Gucheng",50.9614666666667,12.0166666666667,1010.26666666667,2.42083333333333,0,1.375,2013-04-21
2013,4,22,"Gucheng",29.9130434782609,12.125,1006.22916666667,5.65416666666667,0,1.17083333333333,2013-04-22
2013,4,23,"Gucheng",18.75,11.8416666666667,1003.6375,7.25416666666667,0,1.14583333333333,2013-04-23
2013,4,24,"Gucheng",23.3,15.85,1003.0375,0.675,0,1.84166666666667,2013-04-24
2013,4,25,"Gucheng",74.625,17.0208333333333,1005.3125,-7.975,0,2.175,2013-04-25
2013,4,26,"Gucheng",57.6086956521739,16.8958333333333,1002.275,-1.08333333333333,0,0.904166666666667,2013-04-26
2013,4,27,"Gucheng",86.6389416666667,18.3,1003.0875,0.866666666666667,0,1.10416666666667,2013-04-27
2013,4,28,"Gucheng",88.5,16.8916666666667,1002.5875,2.28333333333333,0,1.30416666666667,2013-04-28
2013,4,29,"Gucheng",91.0716333333333,21.8291666666667,1004.34583333333,-6.475,0,2.2125,2013-04-29
2013,4,30,"Gucheng",58.8260869565217,21.7208333333333,1006.02916666667,-5.1375,0,1.3,2013-04-30
2013,5,1,"Gucheng",91.0833333333333,17.8875,1007.29583333333,0.395833333333333,0,1.22916666666667,2013-05-01
2013,5,2,"Gucheng",92.2608695652174,19.425,1004.07083333333,3.3125,0,1.26666666666667,2013-05-02
2013,5,3,"Gucheng",122.541666666667,18.1833333333333,1009.05833333333,5.7,0,1.35833333333333,2013-05-03
2013,5,4,"Gucheng",106.217391304348,19.0791666666667,1008.57083333333,7.6125,0,1.33333333333333,2013-05-04
2013,5,5,"Gucheng",102,20.6458333333333,1008.42916666667,11.025,0,0.7375,2013-05-05
2013,5,6,"Gucheng",148.930166666667,23.1125,1006.5625,11.7833333333333,0,0.775,2013-05-06
